IP,Port,Status,LatencyMS,Protocol,Error
192.168.1.47,8096,DEAD,5792.42,http,
192.168.1.26,8075,DEAD,5792.63,http,
192.168.1.45,8094,DEAD,5792.84,http,
192.168.1.44,8093,DEAD,5793.06,http,
192.168.1.43,8092,DEAD,5793.29,http,
192.168.1.18,8067,DEAD,5793.51,http,
192.168.1.16,8065,DEAD,5793.72,http,
192.168.1.52,8001,DEAD,5793.94,http,
192.168.1.34,8083,DEAD,5794.16,http,
192.168.1.39,8088,DEAD,5794.38,http,
192.168.1.9,8058,DEAD,5794.59,http,
192.168.1.38,8087,DEAD,5794.81,http,
192.168.1.46,8095,DEAD,5793.02,http,
192.168.1.54,8003,DEAD,5795.24,http,
192.168.1.32,8081,DEAD,5795.45,http,
192.168.1.31,8080,DEAD,5795.67,http,
192.168.1.30,8079,DEAD,5795.88,http,
192.168.1.29,8078,DEAD,5796.09,http,
192.168.1.28,8077,DEAD,5796.3,http,
192.168.1.27,8076,DEAD,5796.51,http,
192.168.1.235,8034,DEAD,5796.72,http,
192.168.1.25,8074,DEAD,5796.93,http,
192.168.1.24,8073,DEAD,5797.14,http,
192.168.1.23,8072,DEAD,5797.35,http,
192.168.1.22,8071,DEAD,5797.56,http,
192.168.1.21,8070,DEAD,5797.77,http,
192.168.1.20,8069,DEAD,5797.98,http,
192.168.1.19,8068,DEAD,5798.2,http,
192.168.1.214,8013,DEAD,5803.52,http,
192.168.1.230,8029,DEAD,5802.04,http,
192.168.1.12,8061,DEAD,5799.03,http,
192.168.1.232,8031,DEAD,5799.25,http,
192.168.1.211,8010,DEAD,5802.48,http,
192.168.1.11,8060,DEAD,5799.7,http,
192.168.1.10,8059,DEAD,5799.7,http,
192.168.1.5,8054,DEAD,5800.62,http,
192.168.1.7,8056,DEAD,5800.29,http,
192.168.1.8,8057,DEAD,5800.55,http,
192.168.1.37,8086,DEAD,5800.83,http,
192.168.1.6,8055,DEAD,5801.12,http,
192.168.1.233,8032,DEAD,5805.31,http,
192.168.1.36,8085,DEAD,5801.64,http,
192.168.1.51,8000,DEAD,5801.89,http,
192.168.1.15,8064,DEAD,5797.37,http,
192.168.1.249,8048,DEAD,5802.38,http,
192.168.1.248,8047,DEAD,5802.59,http,
192.168.1.247,8046,DEAD,5802.82,http,
192.168.1.246,8045,DEAD,5803.03,http,
192.168.1.245,8044,DEAD,5803.25,http,
192.168.1.244,8043,DEAD,5803.47,http,
192.168.1.33,8082,DEAD,5803.69,http,
192.168.1.50,8099,DEAD,5799.88,http,
192.168.1.241,8040,DEAD,5804.13,http,
192.168.1.240,8039,DEAD,5804.34,http,
192.168.1.239,8038,DEAD,5804.56,http,
192.168.1.238,8037,DEAD,5804.79,http,
192.168.1.237,8036,DEAD,5805.01,http,
192.168.1.236,8035,DEAD,5805.22,http,
192.168.1.223,8022,DEAD,5805.44,http,
192.168.1.227,8026,DEAD,5807.35,http,
192.168.1.210,8009,DEAD,5806.19,http,
192.168.1.13,8062,DEAD,5803.44,http,
192.168.1.216,8015,DEAD,5806.52,http,
192.168.1.213,8012,DEAD,5808.04,http,
192.168.1.226,8025,DEAD,5806.96,http,
192.168.1.2,8051,DEAD,5809.14,http,
192.168.1.250,8049,DEAD,5804.88,http,
192.168.1.224,8023,DEAD,5807.53,http,
192.168.1.243,8042,DEAD,5807.75,http,
192.168.1.222,8021,DEAD,5807.99,http,
192.168.1.242,8041,DEAD,5806.14,http,
192.168.1.220,8019,DEAD,5808.44,http,
192.168.1.209,8008,DEAD,5808.66,http,
192.168.1.229,8028,DEAD,5808.88,http,
192.168.1.49,8098,DEAD,5810.6,http,
192.168.1.228,8027,DEAD,5809.67,http,
192.168.1.225,8024,DEAD,5808.46,http,
192.168.1.35,8084,DEAD,5810.01,http,
192.168.1.3,8052,DEAD,5810.24,http,
192.168.1.212,8011,DEAD,5810.48,http,
192.168.1.221,8020,DEAD,5809.37,http,
192.168.1.55,8004,DEAD,5801.43,http,
192.168.1.56,8005,DEAD,5800.05,http,
192.168.1.57,8006,DEAD,5799.81,http,
192.168.1.58,8007,DEAD,5798.82,http,
192.168.1.140,8089,DEAD,5798.82,http,
192.168.1.67,8016,DEAD,5796.52,http,
192.168.1.65,8014,DEAD,5793.45,http,
192.168.1.68,8017,DEAD,5793.74,http,
192.168.1.104,8053,DEAD,5790.36,http,
192.168.1.101,8050,DEAD,5797.85,http,
192.168.1.81,8030,DEAD,5797.48,http,
192.168.1.141,8090,DEAD,5794.44,http,
192.168.1.153,8002,DEAD,5791.01,http,
192.168.1.84,8033,DEAD,5791.23,http,
192.168.1.142,8091,DEAD,5791.45,http,
192.168.1.117,8066,DEAD,5795.03,http,
192.168.1.69,8018,DEAD,5791.89,http,
192.168.1.114,8063,DEAD,5792.11,http,
192.168.1.148,8097,DEAD,5792.34,http,
192.168.1.147,8096,DEAD,5792.56,http,
192.168.1.126,8075,DEAD,5792.77,http,
192.168.1.145,8094,DEAD,5792.99,http,
192.168.1.144,8093,DEAD,5793.23,http,
192.168.1.143,8092,DEAD,5793.45,http,
192.168.1.118,8067,DEAD,5793.66,http,
192.168.1.116,8065,DEAD,5793.88,http,
192.168.1.152,8001,DEAD,5794.09,http,
192.168.1.134,8083,DEAD,5794.3,http,
192.168.1.139,8088,DEAD,5794.51,http,
192.168.1.109,8058,DEAD,5794.72,http,
192.168.1.138,8087,DEAD,5794.93,http,
192.168.1.146,8095,DEAD,5793.13,http,
192.168.1.154,8003,DEAD,5795.35,http,
192.168.1.132,8081,DEAD,5795.57,http,
192.168.1.131,8080,DEAD,5795.78,http,
192.168.1.130,8079,DEAD,5795.99,http,
192.168.1.129,8078,DEAD,5796.2,http,
192.168.1.128,8077,DEAD,5796.41,http,
192.168.1.127,8076,DEAD,5796.63,http,
192.168.1.85,8034,DEAD,5796.84,http,
192.168.1.125,8074,DEAD,5797.06,http,
192.168.1.124,8073,DEAD,5797.27,http,
192.168.1.123,8072,DEAD,5797.48,http,
192.168.1.122,8071,DEAD,5797.69,http,
192.168.1.121,8070,DEAD,5797.89,http,
192.168.1.120,8069,DEAD,5798.11,http,
192.168.1.119,8068,DEAD,5798.32,http,
192.168.1.64,8013,DEAD,5803.61,http,
192.168.1.80,8029,DEAD,5802.11,http,
192.168.1.112,8061,DEAD,5799.14,http,
192.168.1.82,8031,DEAD,5799.35,http,
192.168.1.61,8010,DEAD,5802.55,http,
192.168.1.111,8060,DEAD,5799.79,http,
192.168.1.110,8059,DEAD,5799.81,http,
192.168.1.105,8054,DEAD,5800.64,http,
192.168.1.107,8056,DEAD,5800.33,http,
192.168.1.108,8057,DEAD,5800.55,http,
192.168.1.137,8086,DEAD,5800.76,http,
192.168.1.106,8055,DEAD,5800.99,http,
192.168.1.83,8032,DEAD,5805.22,http,
192.168.1.136,8085,DEAD,5801.41,http,
192.168.1.151,8000,DEAD,5801.62,http,
192.168.1.115,8064,DEAD,5797.18,http,
192.168.1.99,8048,DEAD,5802.04,http,
192.168.1.98,8047,DEAD,5802.26,http,
192.168.1.97,8046,DEAD,5802.48,http,
192.168.1.96,8045,DEAD,5802.7,http,
192.168.1.95,8044,DEAD,5802.92,http,
192.168.1.94,8043,DEAD,5803.15,http,
